amfi_code,return_3yr_pct,sharpe_ratio,alpha_annualized_pct,max_drawdown_pct,scheme_name,category,expense_ratio_pct,score_3yr,score_sharpe,score_alpha,score_expense,score_maxdd,fund_scorecard
148567,33.991970400445304,1.4482911703262593,26.98375144191807,-11.265729075028275,Mirae Asset Large Cap Fund - Regular - Growth,Equity,1.46,97.5,100.0,85.0,42.50000000000001,82.5,85.875
120505,31.769242852237323,1.1801011976606495,29.26358334175106,-18.188513572116292,ICICI Pru Midcap Fund - Regular - Growth,Equity,1.36,90.0,90.0,95.0,62.5,40.0,81.875
120843,29.57511058901836,1.3067439695428407,27.330465038306055,-12.97396816518679,Kotak Flexicap Fund - Regular - Growth,Equity,1.45,85.0,97.5,90.0,44.99999999999999,70.0,81.625
100033,32.43397122906222,1.0936987435346313,27.19535450128533,-16.217208574644847,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,1.38,92.5,85.0,87.5,57.49999999999999,52.5,80.375
120504,32.478927222623,1.0265242847993,21.19482701352573,-12.588275606922517,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.8,95.0,77.5,70.0,70.0,72.5,79.625
119094,35.10252788903541,0.9982309868636414,26.07666908004223,-20.960883862039193,Axis Midcap Fund - Regular - Growth,Equity,1.38,100.0,75.0,80.0,57.49999999999999,32.5,76.625
119551,30.448613060027817,1.2082665673727175,23.201007160635083,-15.012385498645331,SBI Bluechip Fund - Regular Plan - Growth,Equity,1.54,87.5,92.5,77.5,23.750000000000004,60.0,74.4375
148569,29.17135767741186,1.2349300257743294,28.27036785246582,-16.39674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,1.6,82.5,95.0,92.5,8.750000000000002,50.0,73.3125
101206,28.960211096593724,1.0272133278753701,21.399784776051213,-11.291596329323072,ABSL Frontline Equity Fund - Regular - Growth,Equity,1.6,80.0,80.0,72.5,8.750000000000002,80.0,67.8125
119598,26.66309129954312,0.9453082575156091,30.336965386983323,-28.706005721764548,SBI Small Cap Fund - Regular Plan - Growth,Equity,1.43,72.5,67.5,100.0,47.5,12.5,67.0
149323,26.863103668817146,1.1321218524747243,26.598577542043046,-17.24810575345138,DSP Midcap Fund - Regular - Growth,Equity,1.61,75.0,87.5,82.5,5.000000000000004,47.5,66.375
149324,26.99350260734621,0.9497958246616028,30.05787817097677,-31.171900300634213,DSP Small Cap Fund - Regular - Growth,Equity,1.52,77.5,70.0,97.5,33.75,10.0,66.3125
118632,22.646647456747715,1.0816591793457038,21.829397904608644,-17.41407508665723,Nippon India Large Cap Fund - Regular - Growth,Equity,1.51,67.5,82.5,75.0,38.74999999999999,45.0,66.1875
119552,16.263375081360643,0.9532794968660094,19.86859936686296,-11.803493502764296,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.66,45.0,72.5,65.0,90.0,75.0,65.625
125497,18.429918008610045,0.7757902498211211,17.729754927531765,-15.200013055606398,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.92,55.00000000000001,57.49999999999999,62.5,65.0,57.49999999999999,58.875
118635,20.00321571698329,0.6648569985490614,15.136354648239239,-11.650624505409091,Nippon India ETF Nifty 50 BeES,Equity,0.89,60.0,55.00000000000001,45.0,67.5,77.5,58.625
118633,21.084691029380597,0.6452074382933211,15.64383594816967,-18.62974313859551,Nippon India Large Cap Fund - Direct - Growth,Equity,0.72,65.0,50.0,47.5,86.25,37.5,58.1875
102885,19.662361245910965,0.8170993373494366,17.048756803412697,-10.85986215250232,UTI Nifty 50 Index Fund - Regular - Growth,Equity,1.57,57.49999999999999,62.5,55.00000000000001,15.000000000000002,85.0,54.625
120503,13.974980348212673,0.7979728586052853,17.703302365844074,-13.897862823061635,ICICI Pru Bluechip Fund - Regular - Growth,Equity,1.42,40.0,60.0,60.0,50.0,67.5,53.25
148568,14.744434832760533,0.9262873467360146,20.873010086942337,-15.27259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,1.52,42.5,65.0,67.5,33.75,55.00000000000001,53.0625
120506,18.417429266835228,0.6488787755249535,16.25385327998104,-19.82565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,1.41,52.5,52.5,52.5,52.5,35.0,50.75
