amfi_code,beta,alpha_annualized_pct,r_squared,n_obs
100016,-0.05826843143880889,3.747580763443281,0.002665032698133322,1149
100025,0.0011582183155281445,4.281792031506088,1.4612842041844981e-05,1149
100033,0.00510352583052832,27.19535450128533,1.2066520635068217e-05,1149
101206,0.021086316250128027,21.399784776051213,0.00034804820307142496,1149
101207,-0.06528924788351524,10.897091901704538,0.0010641052735572622,1149
101208,0.00026670968338238357,6.086145795787115,4.607623677105207e-05,1149
102885,-0.019486785689474533,17.048756803412697,0.00038285030730923845,1149
102886,-0.042125029021894335,2.8969397866379443,0.0008964294600687586,1149
102887,0.01668268943777081,16.211256794033254,0.00018619166432850138,1149
118632,-0.008353832126962012,21.829397904608644,5.791756270127821e-05,1149
118633,-0.036639006718609375,15.64383594816967,0.0011382947171084295,1149
118634,0.10349663691337589,17.50072167561127,0.0027930065610663247,1149
118635,-0.0014335213897801165,15.136354648239239,2.0253408972327968e-06,1149
118636,0.0012566742731558473,5.074772999976104,1.651665231033279e-05,1149
119092,0.009730745001153633,6.899529821677549,8.08263769381077e-05,1149
119093,0.025883212440093156,8.232801295222094,0.0005692038090244875,1149
119094,-0.06626542862803757,26.07666908004223,0.001936878936960232,1149
119095,-0.06695117463929202,4.801595363775955,0.0011851593464486726,1149
119120,-0.0064138507282764734,5.620895216638369,0.0004342603321720048,1149
119551,-0.03175144113890971,23.201007160635083,0.0008869788879322805,1149
119552,-0.026159307513513405,19.86859936686296,0.0005850821704543428,1149
119598,-0.023196062044059697,30.336965386983323,0.00014142575502721716,1149
119599,0.062001804382671694,4.882421594553985,0.0010259205326765969,1149
120503,-0.0402689523698206,17.703302365844074,0.001397444608331861,1149
120504,0.016232169761417007,21.19482701352573,0.00021216129075887457,1149
120505,0.000549004250631717,29.26358334175106,1.3455341675669093e-07,1149
120506,0.04189646272811977,16.25385327998104,0.0012571178108220743,1149
120507,-0.0004440926329707217,6.746210411099539,0.0001343066144067977,1149
120841,0.0363563990221998,13.042924450705446,0.0012113711061211873,1149
120842,0.01805687420811815,7.80443887615508,0.00016915548838314346,1149
120843,-0.022829569792426556,27.330465038306055,0.0003430543427151453,1149
120844,-0.0004007442394784001,6.4556774953759986,0.00010125435692271723,1149
125497,0.0488204042595774,17.729754927531765,0.0018401792783071592,1149
125498,0.009054412621739151,11.98910097121797,4.0437465536342426e-05,1149
148567,0.02368355807584862,26.98375144191807,0.00046254369066238454,1149
148568,-0.02638771994384301,20.873010086942337,0.00048592647527973177,1149
148569,0.01813388408385922,28.27036785246582,0.00017488886568129514,1149
149322,-0.004050271130006522,13.173190226099432,1.322760788085039e-05,1149
149323,-0.002523004664699254,26.598577542043046,3.3579781920088773e-06,1149
149324,0.011455159960520734,30.05787817097677,3.532990626795579e-05,1149
